Format,DataType,Size,Save,Load,FileSize (KB)
pd_Pickle,int64,50000,0.017427826,0.003085184,391.28
pd_Pickle,datetime64,50000,0.015486574,0.003236008,391.3
pd_Pickle,floatToInt,50000,0.01069622,0.002242422,195.98
pd_Pickle,roundFloat,50000,0.016321611,0.003099394,391.29
PickleV0,category,50000,0.047060204,0.010710764,185.88
PickleV0,float64,50000,0.224818802,0.040156841,1157.58
PickleV0,text,50000,1.190981627,1.197462988,771.62
PickleV0,ones,50000,0.175564623,0.025305033,782.3
PickleV0,int64,50000,0.300418425,0.046576595,1443.6
PickleV0,datetime64,50000,0.271393585,0.045027399,1342.42
PickleV0,floatToInt,50000,0.144271612,0.024339581,672.1
PickleV0,roundFloat,50000,0.206732988,0.036556768,1106.42
PickleV1,category,50000,0.009506989,0.004236841,49.98
PickleV1,float64,50000,0.018998814,0.004340219,391.42
